Type ,Case,Size,Swaps,Greater,Equals,Order
QUICK,RANDOM,12500,41171,206251,0,247422
QUICK,RANDOM,25000,87404,457167,0,544571
QUICK,RANDOM,50000,186207,1016597,0,1202804
QUICK,RANDOM,100000,398876,2048767,0,2447643
QUICK_CUT,RANDOM,12500,60597,226919,0,287516
QUICK_CUT,RANDOM,25000,127520,487985,0,615505
QUICK_CUT,RANDOM,50000,265488,1060405,0,1325893
QUICK_CUT,RANDOM,100000,548282,2506002,0,3054284
QUICK_MED_OF_THREE,RANDOM,12500,60350,220851,0,281201
QUICK_MED_OF_THREE,RANDOM,25000,126446,486476,0,612922
QUICK_MED_OF_THREE,RANDOM,50000,265547,999371,0,1264918
QUICK_MED_OF_THREE,RANDOM,100000,558376,2071030,0,2629406
QUICK_NON_RECURSIVE,RANDOM,12500,40497,225966,0,266463
QUICK_NON_RECURSIVE,RANDOM,25000,88359,461099,0,549458
QUICK_NON_RECURSIVE,RANDOM,50000,187003,975615,0,1162618
QUICK_NON_RECURSIVE,RANDOM,100000,395452,2140221,0,2535673
QUICK_THREE_PARTITION,RANDOM,12500,43720,205488,34120,283328
QUICK_THREE_PARTITION,RANDOM,25000,94847,414997,75559,585403
QUICK_THREE_PARTITION,RANDOM,50000,198591,969050,159925,1327566
QUICK_THREE_PARTITION,RANDOM,100000,417956,2123476,340568,2882000
